date,user,text,translated_text,lang,sentiment
2025-05-18 09:01:05,1717823424179867648,@RURA_RWANDA @CityofKigali Rwanda Rolls Out Distance-Based Public Transport Fare System via @FurtherAfrica https://t.co/91OKk0x4D1  ibi ni byiza cyane,@RURA_RWANDA @CityofKigali Rwanda Rolls Out Distance-Based Public Transport Fare System via @FurtherAfrica https://t.co/91OKk0x4D1  ibi ni byiza cyane,en,Neutral
2025-05-17 17:25:57,1753366155660550144,@brucenahabwe1 @SeraTheActivist But transport fare to Rwanda is cheap mudeko ewamwe tubakooye 😏,@brucenahabwe1 @SeraTheActivist But transport fare to Rwanda is cheap mudeko ewamwe tubakooye 😏,en,Positive
2025-05-16 17:24:14,765177385545269248,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en,Negative
2025-05-16 14:15:53,1563181541529772033,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en,Negative
2025-05-16 14:10:30,517594178,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en,Negative
2025-05-16 12:34:56,1106952218102718464,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en,Negative
2025-05-16 10:40:07,1185120736341569536,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en,Negative
2025-05-16 10:29:53,1699153806431334400,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en,Negative
2025-05-16 10:08:05,1622808636203446275,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en,Negative
2025-05-16 09:40:59,1558881317894365185,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en,Negative
2025-05-16 09:30:31,963029294795632640,The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half are only in Rwanda because they are too poor to afford a bus fare to Nairobi to join the others in hawking tea.,The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half are only in Rwanda because they are too poor to afford a bus fare to Nairobi to join the others in hawking tea.,en,Negative
2025-05-15 06:24:55,synthetic_user_0,They didn’t explain the new fare structure well.,They didn’t explain the new fare structure well.,en,Positive
2025-04-10 06:24:55,synthetic_user_1,"Transport is better regulated, but we need transparency.","Transport is better regulated, but we need transparency.",en,Positive
2025-04-07 06:24:55,synthetic_user_2,RURA should review fare discrepancies between operators.,RURA should review fare discrepancies between operators.,en,Neutral
2025-04-27 06:24:55,synthetic_user_3,I like that short trips are now cheaper.,I like that short trips are now cheaper.,en,Neutral
2025-04-11 06:24:55,synthetic_user_4,It’s confusing when the fare changes based on kilometers.,It’s confusing when the fare changes based on kilometers.,en,Negative
2025-05-19 06:24:55,synthetic_user_5,Moto-taxi fares remain unchanged — is that fair?,Moto-taxi fares remain unchanged — is that fair?,en,Positive
2025-04-03 06:24:55,synthetic_user_6,The idea is good but implementation needs improvement.,The idea is good but implementation needs improvement.,en,Positive
2025-03-31 06:24:55,synthetic_user_7,RURA should review fare discrepancies between operators.,RURA should review fare discrepancies between operators.,en,Neutral
2025-04-04 06:24:55,synthetic_user_8,Public transport is more organized now but expensive.,Public transport is more organized now but expensive.,en,Neutral
2025-05-11 06:24:55,synthetic_user_9,It’s confusing when the fare changes based on kilometers.,It’s confusing when the fare changes based on kilometers.,en,Negative
2025-05-06 06:24:55,synthetic_user_10,The new fare system helps short-distance commuters.,The new fare system helps short-distance commuters.,en,Positive
2025-04-19 06:24:55,synthetic_user_11,The new fare system helps short-distance commuters.,The new fare system helps short-distance commuters.,en,Positive
2025-05-11 06:24:55,synthetic_user_12,Students are affected more by the distance-based model.,Students are affected more by the distance-based model.,en,Positive
2025-04-13 06:24:55,synthetic_user_13,The new fare system helps short-distance commuters.,The new fare system helps short-distance commuters.,en,Positive
2025-05-08 06:24:55,synthetic_user_14,Students are affected more by the distance-based model.,Students are affected more by the distance-based model.,en,Positive
2025-04-28 06:24:55,synthetic_user_15,I support RURA's reform; distance-based pricing is fair.,I support RURA's reform; distance-based pricing is fair.,en,Positive
2025-05-02 06:24:55,synthetic_user_16,"Transport is better regulated, but we need transparency.","Transport is better regulated, but we need transparency.",en,Positive
2025-03-24 06:24:55,synthetic_user_17,The new fare system helps short-distance commuters.,The new fare system helps short-distance commuters.,en,Positive
2025-04-12 06:24:55,synthetic_user_18,It’s confusing when the fare changes based on kilometers.,It’s confusing when the fare changes based on kilometers.,en,Negative
2025-03-26 06:24:55,synthetic_user_19,Bus fare from Nyamirambo to Remera used to be cheaper.,Bus fare from Nyamirambo to Remera used to be cheaper.,en,Neutral
2025-04-05 06:24:55,synthetic_user_20,Students are affected more by the distance-based model.,Students are affected more by the distance-based model.,en,Positive
2025-04-20 06:24:55,synthetic_user_21,Moto-taxi fares remain unchanged — is that fair?,Moto-taxi fares remain unchanged — is that fair?,en,Positive
2025-03-30 06:24:55,synthetic_user_22,The smart card system isn't reflecting the new prices.,The smart card system isn't reflecting the new prices.,en,Positive
2025-03-25 06:24:55,synthetic_user_23,I like that short trips are now cheaper.,I like that short trips are now cheaper.,en,Neutral
2025-04-02 06:24:55,synthetic_user_24,Moto-taxi fares remain unchanged — is that fair?,Moto-taxi fares remain unchanged — is that fair?,en,Positive
2025-05-08 06:24:55,synthetic_user_25,I support RURA's reform; distance-based pricing is fair.,I support RURA's reform; distance-based pricing is fair.,en,Positive
2025-04-21 06:24:55,synthetic_user_26,The idea is good but implementation needs improvement.,The idea is good but implementation needs improvement.,en,Positive
2025-05-13 06:24:55,synthetic_user_27,Fare adjustment should have been gradual.,Fare adjustment should have been gradual.,en,Neutral
2025-03-28 06:24:55,synthetic_user_28,Some buses charge more than others. Why?,Some buses charge more than others. Why?,en,Positive
2025-04-05 06:24:55,synthetic_user_29,Public transport is more organized now but expensive.,Public transport is more organized now but expensive.,en,Neutral
2025-04-13 06:24:55,synthetic_user_30,Bus fare from Nyamirambo to Remera used to be cheaper.,Bus fare from Nyamirambo to Remera used to be cheaper.,en,Neutral
2025-04-01 06:24:55,synthetic_user_31,Prices vary too much even for same distance routes.,Prices vary too much even for same distance routes.,en,Positive
2025-04-24 06:24:55,synthetic_user_32,RURA should review fare discrepancies between operators.,RURA should review fare discrepancies between operators.,en,Neutral
