date,user,text,translated_text,lang
2025-05-18 09:01:05,1717823424179867648,@RURA_RWANDA @CityofKigali Rwanda Rolls Out Distance-Based Public Transport Fare System via @FurtherAfrica https://t.co/91OKk0x4D1  ibi ni byiza cyane,@RURA_RWANDA @CityofKigali Rwanda Rolls Out Distance-Based Public Transport Fare System via @FurtherAfrica https://t.co/91OKk0x4D1  ibi ni byiza cyane,en
2025-05-17 17:25:57,1753366155660550144,@brucenahabwe1 @SeraTheActivist But transport fare to Rwanda is cheap mudeko ewamwe tubakooye 😏,@brucenahabwe1 @SeraTheActivist But transport fare to Rwanda is cheap mudeko ewamwe tubakooye 😏,en
2025-05-16 17:24:14,765177385545269248,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en
2025-05-16 14:15:53,1563181541529772033,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en
2025-05-16 14:10:30,517594178,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en
2025-05-16 12:34:56,1106952218102718464,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en
2025-05-16 10:40:07,1185120736341569536,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en
2025-05-16 10:29:53,1699153806431334400,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en
2025-05-16 10:08:05,1622808636203446275,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en
2025-05-16 09:40:59,1558881317894365185,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,RT @_Yanoh: The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half a…,en
2025-05-16 09:30:31,963029294795632640,The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half are only in Rwanda because they are too poor to afford a bus fare to Nairobi to join the others in hawking tea.,The way Kagame talks you wouldn't know half the population of Rwanda is in Nairobi hawking tea and half of the remaining half are only in Rwanda because they are too poor to afford a bus fare to Nairobi to join the others in hawking tea.,en
